datetime,seikeiki,product_id,present_kensahyou,product_name,tantou,,
2019-9-7 08:00,5,CAS-NDS-20001,1,NDS-カセットCASE-1,,0,f606ea4c-3274-4db6-9c95-52304761b41d,
2019-9-7 08:00,6,P2131-93020,1,ラッチA,,0,f606ea4c-3274-4db6-9c95-52304761b41d,
2019-9-7 08:00,7,RC41-J67,1,スリーブ,,0,f606ea4c-3274-4db6-9c95-52304761b41d,
2019-9-7 08:00,8,RD08-J67,1,蒸気口キャップ,,0,f606ea4c-3274-4db6-9c95-52304761b41d,
2019-9-7 08:00,9,W002,1,ターミナル,,0,f606ea4c-3274-4db6-9c95-52304761b41d,
2019-9-7 09:00,1,P0351-39000,1,アシイタC,,0,f606ea4c-3274-4db6-9c95-52304761b41d,
2019-9-7 10:00,5,CAS-NDS-20002,1,NDS-カセットCASE-2,,0,f606ea4c-3274-4db6-9c95-52304761b41d,
2019-9-7 13:00,6,W3440-8RT00,0,サスペンションキャップ,,0,f606ea4c-3274-4db6-9c95-52304761b41d,
2019-9-9 08:00,1,P0351-39000,0,アシイタC,,0,f606ea4c-3274-4db6-9c95-52304761b41d,
2019-9-9 08:00,2,BON-MD-20015,0,MD-CP30ボビン,,0,f606ea4c-3274-4db6-9c95-52304761b41d,
2019-9-9 08:00,3,P1189-31350,0,コモノイレA,,0,f606ea4c-3274-4db6-9c95-52304761b41d,
2019-9-9 08:00,4,P2166-67370,0,カゴピンB（L） ,,0,f606ea4c-3274-4db6-9c95-52304761b41d,
2019-9-9 08:00,5,CAS-NDS-20002,0,NDS-カセットCASE-2,,0,f606ea4c-3274-4db6-9c95-52304761b41d,
2019-9-9 08:00,6,W3440-8RT00,0,サスペンションキャップ,,0,f606ea4c-3274-4db6-9c95-52304761b41d,
2019-9-9 08:00,7,RC41-J67,0,スリーブ,,0,f606ea4c-3274-4db6-9c95-52304761b41d,
2019-9-9 08:00,8,RD08-J67,0,蒸気口キャップ,,0,f606ea4c-3274-4db6-9c95-52304761b41d,
2019-9-9 08:00,9,W002,0,ターミナル,,0,f606ea4c-3274-4db6-9c95-52304761b41d,
2019-9-9 09:00,4,P2166-02F10,0, カゴピンB ,,0,f606ea4c-3274-4db6-9c95-52304761b41d,
