1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
182650,199969,2019/3/15,20,14112,BON-MD-20023,60,2019/5/8,29-107052,2019/5/8,20001,岡山第１工場,0,0,0,1,,2019/5/8 8:43,0,2020/6/7 16:41,9999,,
182651,199969,2019/3/15,8.8,13508,MLD-MD-20035,70,2019/5/8,29-107052,2019/5/8,20001,岡山第１工場,0,0,0,1,,2019/5/8 8:43,0,2020/6/7 16:41,9999,,
182652,199969,2019/3/15,11.8,6754,MLD-MD-20036,80,2019/5/8,29-107052,2019/5/8,20001,岡山第１工場,0,0,0,1,,2019/5/8 8:43,0,2020/6/7 16:41,9999,,
182657,199969,2019/3/15,9.5,820,MLD-MD-20034,110,2019/4/8,90-294944,2019/4/8,20001,岡山第１工場,0,0,0,1,,2019/4/8 8:51,0,2020/6/7 16:41,9999,,
182663,100360,2019/3/18,6.7,6821,MLD-MD-20031,110,2019/4/15,29-107052,2019/4/15,20001,オーティス(株) 湯原工場,0,0,0,1,,2019/4/15 8:43,0,2020/6/7 16:41,9999,,
182664,100360,2019/3/18,8.3,6821,MLD-MD-20032,120,2019/4/15,29-107052,2019/4/15,20001,オーティス(株) 湯原工場,0,0,0,1,,2019/4/15 8:43,0,2020/6/7 16:41,9999,,
182665,199969,2019/3/19,41,5000,BON-NDS-20002,80,2019/4/22,29-107077,2019/4/22,20001,岡山第１工場,0,1,1,1,2019/3/20,2019/4/22 9:16,0,2020/6/7 16:41,9999,2019/3/20 17:17,
182666,199969,2019/3/19,41,5000,BON-NDS-20002,80,2019/4/24,29-107077,,20001,岡山第１工場,0,1,2,1,2019/3/20,2019/4/24 8:40,0,2020/6/7 16:41,9999,,
182667,199969,2019/3/19,41,3090,BON-NDS-20002,80,2019/4/26,29-107077,,20001,岡山第１工場,0,1,3,1,2019/3/20,2019/4/26 8:46,0,2020/6/7 16:41,9999,,
182668,199969,2019/3/19,125.5,210,CAS-NDS-20001,90,2019/4/19,29-107077,2019/4/19,20001,岡山第１工場,0,1,1,1,2019/4/18,2019/4/19 8:39,0,2020/6/7 16:41,9999,2019/4/18 11:19,
182669,199969,2019/3/19,125.5,390,CAS-NDS-20001,90,2019/4/22,29-107077,,20001,岡山第１工場,0,1,2,1,2019/4/19,2019/4/22 9:16,0,2020/6/7 16:41,9999,2019/4/19 10:43,
182670,199969,2019/3/19,125.5,1980,CAS-NDS-20001,90,2019/4/24,29-107077,,20001,岡山第１工場,0,1,3,1,2019/4/19,2019/4/24 8:40,0,2020/6/7 16:41,9999,,
182671,199969,2019/3/19,125.5,720,CAS-NDS-20001,90,2019/4/25,29-107077,,20001,岡山第１工場,0,1,4,1,2019/4/19,2019/4/25 8:41,0,2020/6/7 16:41,9999,,
182672,199969,2019/3/19,125.5,3310,CAS-NDS-20001,90,2019/5/9,29-107077,,20001,岡山第１工場,0,1,5,1,2019/4/19,2019/5/9 8:38,0,2020/6/7 16:41,9999,2019/5/7 10:50,
182673,199969,2019/3/19,53,3600,CAS-NDS-20002,100,2019/4/19,29-107077,2019/4/19,20001,岡山第１工場,0,1,1,1,2019/3/20,2019/4/19 8:39,0,2020/6/7 16:41,9999,2019/3/20 17:18,
182674,199969,2019/3/19,53,1440,CAS-NDS-20002,100,2019/4/22,29-107077,,20001,岡山第１工場,0,1,2,1,2019/4/19,2019/4/22 9:16,0,2020/6/7 16:41,9999,2019/4/19 10:44,
182675,199969,2019/3/19,53,1570,CAS-NDS-20002,100,2019/5/9,29-107077,,20001,岡山第１工場,0,1,3,1,2019/4/19,2019/5/9 8:38,0,2020/6/7 16:41,9999,2019/5/7 10:50,
182676,199969,2019/3/19,14,7000,MLD-NDS-20001,120,2019/4/19,29-107077,2019/4/19,20001,岡山第１工場,0,1,1,1,2019/3/20,2019/4/19 8:39,0,2020/6/7 16:41,9999,2019/3/20 17:19,
182677,199969,2019/3/19,14,6090,MLD-NDS-20001,120,2019/4/22,29-107077,,20001,岡山第１工場,0,1,2,1,2019/3/20,2019/4/22 9:16,0,2020/6/7 16:41,9999,,
182678,199969,2019/3/19,14,7000,MLD-NDS-20002,110,2019/4/19,29-107077,2019/4/19,20001,岡山第１工場,0,1,1,1,2019/3/20,2019/4/19 8:39,0,2020/6/7 16:41,9999,2019/3/20 17:20,
182679,199969,2019/3/19,14,6090,MLD-NDS-20002,110,2019/4/22,29-107077,,20001,岡山第１工場,0,1,2,1,2019/3/20,2019/4/22 9:16,0,2020/6/7 16:41,9999,,
182680,199969,2019/3/19,8.5,13090,SPR-NDS-20001,130,2019/4/17,29-107077,2019/4/17,20001,岡山第１工場,0,1,0,1,,2019/4/17 8:38,0,2020/6/7 16:41,9999,,
182681,199969,2019/3/19,8.5,2037,SPR-NDS-20001,140,2019/4/17,29-521564,2019/4/17,20001,岡山第１工場,0,1,0,1,,2019/4/17 8:38,0,2020/6/7 16:41,9999,,
182682,199969,2019/3/19,20,696,BON-MD-20023,60,2019/4/24,29-521649,2019/4/24,20001,岡山第１工場,0,0,0,1,,2019/4/24 8:40,0,2020/6/7 16:41,9999,,
182683,199969,2019/3/19,8.8,688,MLD-MD-20035,70,2019/4/24,29-521649,2019/4/24,20001,岡山第１工場,0,0,0,1,,2019/4/24 8:40,0,2020/6/7 16:41,9999,,
182684,199969,2019/3/19,11.8,349,MLD-MD-20036,80,2019/4/24,29-521649,2019/4/24,20001,岡山第１工場,0,0,0,1,,2019/4/24 8:40,0,2020/6/7 16:41,9999,,
182685,199969,2019/3/19,20,1386,BON-MD-20023,60,2019/4/24,29-521650,2019/4/24,20001,岡山第１工場,0,0,0,1,,2019/4/24 8:40,0,2020/6/7 16:41,9999,,
182686,199969,2019/3/19,8.8,1371,MLD-MD-20035,70,2019/4/24,29-521650,2019/4/24,20001,岡山第１工場,0,0,0,1,,2019/4/24 8:40,0,2020/6/7 16:41,9999,,
182687,199969,2019/3/19,11.8,694,MLD-MD-20036,80,2019/4/24,29-521650,2019/4/24,20001,岡山第１工場,0,0,0,1,,2019/4/24 8:40,0,2020/6/7 16:41,9999,,
183466,199969,2019/4/3,20,840,BON-MD-20023,60,2019/5/13,29-107262,2019/5/13,20001,岡山第１工場,0,0,0,1,,2019/5/13 8:55,0,2020/6/7 16:41,9999,,
183467,199969,2019/4/3,8.8,804,MLD-MD-20035,70,2019/5/13,29-107262,2019/5/13,20001,岡山第１工場,0,0,0,1,,2019/5/13 8:55,0,2020/6/7 16:41,9999,,
183468,199969,2019/4/3,11.8,408,MLD-MD-20036,80,2019/5/13,29-107262,2019/5/13,20001,岡山第１工場,0,0,0,1,,2019/5/13 8:55,0,2020/6/7 16:41,9999,,
183531,100360,2019/4/8,6.7,7211,MLD-MD-20031,110,2019/4/25,29-107170,2019/4/24,20001,オーティス(株) 湯原工場,0,0,0,1,,2019/4/25 8:41,0,2020/6/7 16:41,9999,2019/4/23 16:56,
183532,100360,2019/4/8,8.3,7211,MLD-MD-20032,120,2019/4/25,29-107170,2019/4/24,20001,オーティス(株) 湯原工場,0,0,0,1,,2019/4/25 8:41,0,2020/6/7 16:41,9999,2019/4/23 16:56,
183533,100360,2019/4/8,6.7,408,MLD-MD-20031,110,2019/4/25,29-107262,2019/4/24,20001,オーティス(株) 湯原工場,0,0,0,1,,2019/4/25 8:41,0,2020/6/7 16:41,9999,2019/4/23 16:56,
183534,100360,2019/4/8,8.3,408,MLD-MD-20032,120,2019/4/25,29-107262,2019/4/24,20001,オーティス(株) 湯原工場,0,0,0,1,,2019/4/25 8:41,0,2020/6/7 16:41,9999,2019/4/23 16:56,
183694,100360,2019/4/9,6.7,2030,MLD-MD-20031,110,2019/5/8,29-107347,2019/5/8,20001,オーティス(株) 湯原工場,0,0,0,1,,2019/5/8 8:43,0,2020/6/7 16:41,9999,,
183695,100360,2019/4/9,8.3,2030,MLD-MD-20032,120,2019/5/8,29-107347,2019/5/8,20001,オーティス(株) 湯原工場,0,0,0,1,,2019/5/8 8:43,0,2020/6/7 16:41,9999,,
183696,100360,2019/4/9,6.7,4060,MLD-MD-20031,110,2019/5/8,29-107351,2019/5/8,20001,オーティス(株) 湯原工場,0,0,0,1,,2019/5/8 8:43,0,2020/6/7 16:41,9999,,
183697,100360,2019/4/9,8.3,4060,MLD-MD-20032,120,2019/5/8,29-107351,2019/5/8,20001,オーティス(株) 湯原工場,0,0,0,1,,2019/5/8 8:43,0,2020/6/7 16:41,9999,,
183698,100360,2019/4/9,6.7,12180,MLD-MD-20031,110,2019/4/22,29-107354,2019/4/22,20001,オーティス(株) 湯原工場,0,0,0,1,,2019/4/22 9:16,0,2020/6/7 16:41,9999,,
183699,100360,2019/4/9,8.3,12180,MLD-MD-20032,120,2019/4/22,29-107354,2019/4/22,20001,オーティス(株) 湯原工場,0,0,0,1,,2019/4/22 9:16,0,2020/6/7 16:41,9999,,
183700,100360,2019/4/9,6.7,16240,MLD-MD-20031,110,2019/5/15,29-107357,2019/5/15,20001,オーティス(株) 湯原工場,0,0,0,1,,2019/5/15 8:47,0,2020/6/7 16:41,9999,,
183701,100360,2019/4/9,8.3,16240,MLD-MD-20032,120,2019/5/15,29-107357,2019/5/15,20001,オーティス(株) 湯原工場,0,0,0,1,,2019/5/15 8:47,0,2020/6/7 16:41,9999,,
183702,100360,2019/4/9,6.7,8000,MLD-MD-20031,110,2019/5/17,29-107358,2019/5/17,20001,オーティス(株) 湯原工場,0,0,1,1,2019/5/16,2019/5/17 9:35,0,2020/6/7 16:41,9999,2019/5/16 12:47,
183703,100360,2019/4/9,6.7,7428,MLD-MD-20031,110,2019/5/21,29-107358,,20001,オーティス(株) 湯原工場,0,0,2,1,2019/5/16,2019/5/21 8:38,0,2020/6/7 16:41,9999,,
183704,100360,2019/4/9,8.3,8000,MLD-MD-20032,120,2019/5/17,29-107358,2019/5/17,20001,オーティス(株) 湯原工場,0,0,1,1,2019/5/16,2019/5/17 9:35,0,2020/6/7 16:41,9999,2019/5/16 12:48,
183705,100360,2019/4/9,8.3,7428,MLD-MD-20032,120,2019/5/21,29-107358,,20001,オーティス(株) 湯原工場,0,0,2,1,2019/5/16,2019/5/21 8:38,0,2020/6/7 16:41,9999,,
183706,100360,2019/4/9,6.7,9805,MLD-MD-20031,110,2019/5/10,29-107362,2019/5/10,20001,オーティス(株) 湯原工場,0,0,0,1,,2019/5/10 8:41,0,2020/6/7 16:41,9999,,
183707,100360,2019/4/9,8.3,9805,MLD-MD-20032,120,2019/5/10,29-107362,2019/5/10,20001,オーティス(株) 湯原工場,0,0,0,1,,2019/5/10 8:41,0,2020/6/7 16:41,9999,,
183708,100360,2019/4/9,6.7,6145,MLD-MD-20031,110,2019/5/13,29-107365,2019/5/13,20001,オーティス(株) 湯原工場,0,0,1,1,2019/5/13,2019/5/14 8:38,0,2020/6/7 16:41,9999,2019/5/13 20:43,
183709,100360,2019/4/9,6.7,2400,MLD-MD-20031,110,2019/5/15,29-107365,,20001,オーティス(株) 湯原工場,0,0,2,1,2019/5/13,2019/5/15 8:47,0,2020/6/7 16:41,9999,,
183710,100360,2019/4/9,8.3,6145,MLD-MD-20032,120,2019/5/13,29-107365,2019/5/13,20001,オーティス(株) 湯原工場,0,0,1,1,2019/5/13,2019/5/14 8:38,0,2020/6/7 16:41,9999,2019/5/13 20:43,
183711,100360,2019/4/9,8.3,2400,MLD-MD-20032,120,2019/5/15,29-107365,,20001,オーティス(株) 湯原工場,0,0,2,1,2019/5/13,2019/5/15 8:47,0,2020/6/7 16:41,9999,,
183712,199969,2019/4/9,12,90000,MLD-MD-20036,,2019/4/7,sakae190409-001_1,,20001,DNP岡山第1工場,0,1,0,0,,,0,2020/6/7 16:41,9999,,
183713,199969,2019/4/9,7.8,400000,MLD-EX-20002,,2019/4/7,sakae190409-002_1,,20001,DNP岡山第1工場,0,1,0,0,,,0,2020/6/7 16:41,9999,,
183725,199969,2019/4/10,20,4200,BON-MD-20023,60,2019/5/13,29-107347,2019/5/13,20001,岡山第１工場,0,0,0,1,,2019/5/13 8:55,0,2020/6/7 16:41,9999,,
183726,199969,2019/4/10,8.8,4020,MLD-MD-20035,70,2019/5/13,29-107347,2019/5/13,20001,岡山第１工場,0,0,0,1,,2019/5/13 8:55,0,2020/6/7 16:41,9999,,
183727,199969,2019/4/10,11.8,2010,MLD-MD-20036,80,2019/5/13,29-107347,2019/5/13,20001,岡山第１工場,0,0,0,1,,2019/5/13 8:55,0,2020/6/7 16:41,9999,,
183728,199969,2019/4/10,20,8400,BON-MD-20023,60,2019/5/29,29-107351,2019/5/29,20001,岡山第１工場,0,0,0,1,,2019/5/29 8:39,0,2020/6/7 16:41,9999,,
183729,199969,2019/4/10,8.8,8040,MLD-MD-20035,70,2019/5/29,29-107351,2019/5/29,20001,岡山第１工場,0,0,0,1,,2019/5/29 8:39,0,2020/6/7 16:41,9999,,
183730,199969,2019/4/10,11.8,4020,MLD-MD-20036,80,2019/5/29,29-107351,2019/5/29,20001,岡山第１工場,0,0,0,1,,2019/5/29 8:39,0,2020/6/7 16:41,9999,,
183731,199969,2019/4/10,20,20160,BON-MD-20023,60,2019/5/15,29-107354,2019/5/15,20001,岡山第１工場,0,0,1,1,2019/5/14,2019/5/15 8:47,0,2020/6/7 16:41,9999,2019/5/14 11:46,
183732,199969,2019/4/10,20,5040,BON-MD-20023,60,2019/5/17,29-107354,,20001,岡山第１工場,0,0,2,1,2019/5/14,2019/5/17 9:35,0,2020/6/7 16:41,9999,,
183733,199969,2019/4/10,8.8,24120,MLD-MD-20035,70,2019/5/15,29-107354,2019/5/15,20001,岡山第１工場,0,0,0,1,,2019/5/15 8:47,0,2020/6/7 16:41,9999,,
183734,199969,2019/4/10,11.8,12060,MLD-MD-20036,80,2019/5/15,29-107354,2019/5/15,20001,岡山第１工場,0,0,0,1,,2019/5/15 8:47,0,2020/6/7 16:41,9999,,
183735,199969,2019/4/10,20,16800,BON-MD-20023,60,2019/5/17,29-107357,2019/5/17,20001,岡山第１工場,0,0,1,1,2019/4/18,2019/5/17 9:35,0,2020/6/7 16:41,9999,2019/4/18 19:24,
