　,外注業者名,受注番号,品名,内容,種別,工程内容,仕様書番号,仕様書名,発注日,発注数,発注単価,発注金額,納期,　,納入場所名,伝票№,担当者,登録日
800004,株式会社栄ライト工業所,29-110785,#4 DS620-68 CN Jｶｲ1,220,KAK G,ｷﾞｱ･ﾌﾗﾝｼﾞ           ,MLD-EX-20002,PPｷｬｯﾌﾟΦ56,2019/12/03,512,7.80,3993.6,2020/01/10,199969,弊社岡山第１工場,24103,永瀬　智徳,03-Dec-19
800004,株式会社栄ライト工業所,29-110788,#6 DS620-68 CN K,220,KAK G,ｷﾞｱ･ﾌﾗﾝｼﾞ           ,MLD-EX-20002,PPｷｬｯﾌﾟΦ56,2019/12/03,1024,7.80,7987.2,2020/01/10,199969,弊社岡山第１工場,25103,永瀬　智徳,03-Dec-19
800004,株式会社栄ライト工業所,29-110758,#5 T R68-CF400Dｶｲ1,270,KAK G,ｷﾞｱ･ﾌﾗﾝｼﾞ           ,MLD-EX-20002,PPｷｬｯﾌﾟΦ56,2019/12/03,2560,7.80,19968,2020/01/10,199969,弊社岡山第１工場,26103,永瀬　智徳,03-Dec-19
800004,株式会社栄ライト工業所,29-110828,#18 CK-D758(H)ｶｲ5,250,KAK G,ｷﾞｱ･ﾌﾗﾝｼﾞ           ,MLD-EX-20002,PPｷｬｯﾌﾟΦ56,2019/12/03,276,7.80,2152.8,2020/01/15,199969,弊社岡山第１工場,27103,永瀬　智徳,03-Dec-19
800004,株式会社栄ライト工業所,29-110862,#2 CK-D532(N)02ｶｲ1,270,KAK G,ｷﾞｱ･ﾌﾗﾝｼﾞ           ,MLD-EX-20002,PPｷｬｯﾌﾟΦ56,2019/12/03,1000,7.80,7800,2020/01/15,199969,弊社岡山第１工場,28103,永瀬　智徳,03-Dec-19
800004,株式会社栄ライト工業所,29-522345,#5 DP-TC10-L(W)ｶｲ1,230,KAK G,ｷﾞｱ･ﾌﾗﾝｼﾞ           ,MLD-EX-20002,PPｷｬｯﾌﾟΦ56,2019/12/03,16001,7.80,124807.8,2020/01/17,199969,弊社岡山第１工場,29103,永瀬　智徳,03-Dec-19
800004,株式会社栄ライト工業所,29-110909,#18 DS620-68 CN Aｶｲ1,220,KAK G,ｷﾞｱ･ﾌﾗﾝｼﾞ           ,MLD-EX-20002,PPｷｬｯﾌﾟΦ56,2019/12/03,512,7.80,3993.6,2020/01/15,199969,弊社岡山第１工場,20113,永瀬　智徳,03-Dec-19
800004,株式会社栄ライト工業所,29-110910,#19 DS620-68 CN Aｶｲ1,220,KAK G,ｷﾞｱ･ﾌﾗﾝｼﾞ           ,MLD-EX-20002,PPｷｬｯﾌﾟΦ56,2019/12/03,1024,7.80,7987.2,2020/01/15,199969,弊社岡山第１工場,21113,永瀬　智徳,03-Dec-19
800004,株式会社栄ライト工業所,29-110913,#16 DS620-68 CN Cｶｲ1,220,KAK G,ｷﾞｱ･ﾌﾗﾝｼﾞ           ,MLD-EX-20002,PPｷｬｯﾌﾟΦ56,2019/12/03,256,7.80,1996.8,2020/01/15,199969,弊社岡山第１工場,22113,永瀬　智徳,03-Dec-19
800004,株式会社栄ライト工業所,29-110932,#33 DP-TC10-Lｶｰﾄﾞ,230,KAK G,ｷﾞｱ･ﾌﾗﾝｼﾞ           ,MLD-EX-20002,PPｷｬｯﾌﾟΦ56,2019/12/03,10001,7.80,78007.8,2020/01/15,199969,弊社岡山第１工場,23113,永瀬　智徳,03-Dec-19
