ﾃﾞｰﾀ処理NO,情報区分ｺｰﾄﾞ,ﾃﾞｰﾀ作成日,発注者ｺｰﾄﾞ,受注者ｺｰﾄﾞ,発注部門ｺｰﾄﾞ,製造番号,訂正ｺｰﾄﾞ,ｺｯｸ区分,単位,支給区分,購買担当,材質規格寸法,仕様書有無,版数,品名,受注者品名ｺｰﾄﾞ,発注者品名ｺｰﾄﾞ,荷姿,納期,所要計画数量,備考,計画番号,計画年月日,標準納入日数,ｴﾝﾄﾞﾕｰｻﾞｰ名,指定ﾒｰｶｰ名,所要期間,契約条件区分,機種ｺｰﾄﾞ,戦略物資区分,発注品仕様,発注部門名,購買担当K,材質規格寸法K,品名K,備考K,ｴﾝﾄﾞﾕｰｻﾞｰ名K,指定ﾒｰｶｰ名K,機種名K,発注品仕様K,発注部門名K
115,201,2019/11/30,10801021529,103463,JAFA,,1,1,PC,,DZ7,,,,ﾀﾝｸｳｹｽﾃｰB(R),,P1127-93100,,2019/12/26,1800,,B0035217145,2019/11/30,0,,,0,,,,,,,,,,,,,,
116,201,2019/11/30,10801021529,103463,JAFA,,1,1,PC,,DZ7,,,,ｺﾓﾉｲﾚ,,P1189-22050,,2019/12/26,69,,B0035217352,2019/11/30,0,,,0,,,,,,,,,,,,,,
117,201,2019/11/30,10801021529,103463,JAFA,,1,1,PC,,DZ7,,,,ｶｺﾞﾊﾝｶﾞ,,P0166-93020,,2019/12/25,300,,B0035217389,2019/11/30,0,,,0,,,,,,,,,,,,,,
118,201,2019/11/30,10801021529,103463,JAFA,,1,1,PC,,DZ7,,,,ｶｺﾞﾊﾝｶﾞ,,P0166-93020,,2019/12/26,800,,B0035217390,2019/11/30,0,,,0,,,,,,,,,,,,,,
119,201,2019/11/30,10801021529,103463,JAFA,,1,1,PC,,DZ7,,,,ﾗｯﾁﾄﾘﾂｹｲﾀ,,P2133-93020,,2019/12/25,1200,,B0035217547,2019/11/30,0,,,0,,,,,,,,,,,,,,
120,201,2019/11/30,10801021529,103463,JAFA,,1,1,PC,,DZ7,,,,ﾗｯﾁﾄﾘﾂｹｲﾀ,,P2133-93020,,2019/12/26,1600,,B0035217548,2019/11/30,0,,,0,,,,,,,,,,,,,,
121,201,2019/11/30,10801021529,103463,JAFA,,1,1,PC,,DZ7,,,,ｻﾄﾞｳﾚﾊﾞｰﾋﾟﾝ,,P3471-06F00,,2019/12/26,500,,B0035219076,2019/11/30,0,,,0,,,,,,,,,,,,,,
122,201,2019/11/30,10801021529,103463,JAFA,,1,1,PC,,DZ7,,,,ｽﾗｲﾀﾞU,,P006T-02E20,,2019/12/25,330,,B0035220967,2019/11/30,0,,,0,,,,,,,,,,,,,,
123,201,2019/11/30,10801021529,103463,JAFA,,1,1,PC,,DZ7,,,,ｽﾗｲﾀﾞU,,P006T-02E20,,2019/12/26,30,,B0035220968,2019/11/30,0,,,0,,,,,,,,,,,,,,
124,201,2019/11/30,10801021529,103463,JAFA,,1,1,PC,,DZ7,,,,ｶｺﾞB,,P2125-10M00,,2020/1/6,240,,B0035222215,2019/11/30,0,,,0,,,,,,,,,,,,,,
125,201,2019/11/30,10801021529,103463,JAFA,,1,1,PC,,DZ7,,,,ｶｺﾞB,,P2125-10M00,,2020/1/7,480,,B0035222216,2019/11/30,0,,,0,,,,,,,,,,,,,,
126,201,2019/11/30,10801021529,103463,JAFA,,1,1,PC,,DZ7,,,,ﾎ-ｽﾊﾝｶﾞ-,,P0170-67300,,2019/12/25,1000,,B0035222688,2019/11/30,0,,,0,,,,,,,,,,,,,,
127,201,2019/11/30,10801021529,103463,JAFA,,1,1,PC,,DZ7,,,,ﾎ-ｽﾊﾝｶﾞ-,,P0170-67300,,2019/12/26,1000,,B0035222689,2019/11/30,0,,,0,,,,,,,,,,,,,,
128,201,2019/11/30,10801021529,103463,JAFA,,1,1,PC,,DZ7,,,,ｺﾓﾉｲﾚ,,P1189-31350,,2019/12/25,400,,B0035222758,2019/11/30,0,,,0,,,,,,,,,,,,,,
129,201,2019/11/30,10801021529,103463,JAFA,,1,1,PC,,DZ7,,,,ｺﾓﾉｲﾚ,,P1189-31350,,2019/12/26,1100,,B0035222759,2019/11/30,0,,,0,,,,,,,,,,,,,,
130,201,2019/11/30,10801021529,103463,JAFA,,1,1,PC,,DZ7,,,,ﾁｮｳｾｲｱｼ,,P0335-36420,,2020/1/7,4320,,B0035222972,2019/11/30,0,,,0,,,,,,,,,,,,,,
131,201,2019/11/30,10801021529,103463,JAFA,,1,1,PC,,DZ7,,,,ﾎｰｽﾎﾙﾀﾞA,,P0120-82210,,2019/12/25,800,,B0035223089,2019/11/30,0,,,0,,,,,,,,,,,,,,
132,201,2019/11/30,10801021529,103463,JAFA,,1,1,PC,,DZ7,,,,ﾎｰｽﾎﾙﾀﾞA,,P0120-82210,,2019/12/26,1700,,B0035223090,2019/11/30,0,,,0,,,,,,,,,,,,,,
133,201,2019/11/30,10801021529,103463,JAFA,,1,1,PC,,DZ7,,,,ｶｺﾞﾋﾟﾝB,,P2166-02E10,,2019/12/25,90,,B0035223247,2019/11/30,0,,,0,,,,,,,,,,,,,,
134,201,2019/11/30,10801021529,103463,JAFA,,1,1,PC,,DZ7,,,,ｶｺﾞﾋﾟﾝB,,P2166-02E10,,2019/12/26,180,,B0035223248,2019/11/30,0,,,0,,,,,,,,,,,,,,
135,201,2019/11/30,10801021529,103463,JAFA,,1,1,PC,,DZ7,,,,ｶｺﾞﾋﾟﾝB,,P2166-02F10,,2019/12/25,360,,B0035223558,2019/11/30,0,,,0,,,,,,,,,,,,,,
136,201,2019/11/30,10801021529,103463,JAFA,,1,1,PC,,DZ7,,,,ｶｺﾞﾋﾟﾝB,,P2166-02F10,,2019/12/26,420,,B0035223559,2019/11/30,0,,,0,,,,,,,,,,,,,,
137,201,2019/11/30,10801021529,103463,JAFA,,1,1,PC,,DZ7,,,,ｶｺﾞﾋﾟﾝB,,P2166-93020,,2019/12/25,432,,B0035223731,2019/11/30,0,,,0,,,,,,,,,,,,,,
138,201,2019/11/30,10801021529,103463,JAFA,,1,1,PC,,DZ7,,,,ｶｺﾞﾋﾟﾝB,,P2166-93020,,2019/12/26,756,,B0035223732,2019/11/30,0,,,0,,,,,,,,,,,,,,
139,201,2019/11/30,10801021529,103463,JAFA,,1,1,PC,,DZ7,,,,ｶｺﾞﾋﾟﾝB,,P2166-93110,,2019/12/26,288,,B0035223877,2019/11/30,0,,,0,,,,,,,,,,,,,,
140,201,2019/11/30,10801021529,103463,JAFA,,1,1,PC,,DZ7,,,,ｽｲｯﾁﾌﾟﾚ-ﾄB,,P0624-45900,,2020/1/6,3000,,B0035224606,2019/11/30,0,,,0,,,,,,,,,,,,,,
141,201,2019/11/30,10801021529,103463,JAFA,,1,1,PC,,DZ7,,,,ｷｭｳｽｲﾍﾞﾝ~ｲﾀA,,P2918-02C40,,2019/12/25,1500,,B0035225125,2019/11/30,0,,,0,,,,,,,,,,,,,,
142,201,2019/11/30,10801021529,103463,JAFA,,1,1,PC,,DZ7,,,,ｷｭｳｽｲﾍﾞﾝ~ｲﾀA,,P2918-02C40,,2019/12/26,800,,B0035225126,2019/11/30,0,,,0,,,,,,,,,,,,,,
143,201,2019/11/30,10801021529,103463,JAFA,,1,1,PC,,DZ7,,,,ｷｭｳｽｲﾍﾞﾝﾄﾘﾂｹｲﾀ,,P2918-96520,,2019/12/25,180,,B0035225265,2019/11/30,0,,,0,,,,,,,,,,,,,,
144,201,2019/11/30,10801021529,103463,JAFA,,1,1,PC,,DZ7,,,,ｷｭｳｽｲﾍﾞﾝﾄﾘﾂｹｲﾀ,,P2918-96520,,2019/12/26,90,,B0035225266,2019/11/30,0,,,0,,,,,,,,,,,,,,
145,201,2019/11/30,10801021529,103463,JAFA,,1,1,PC,,DZ7,,,,ﾗｯﾁB,,P2132-93010,,2020/1/6,1600,,B0035228164,2019/11/30,0,,,0,,,,,,,,,,,,,,
146,201,2019/11/30,10801021529,103463,JAFA,,1,1,PC,,DZ7,,,,ﾗｯﾁB,,P2132-93010,,2020/1/7,1600,,B0035228165,2019/11/30,0,,,0,,,,,,,,,,,,,,
147,201,2019/11/30,10801021529,103463,JAFA,,1,1,PC,,DZ7,,,,ｶｺﾞﾋﾟﾝB,,P2166-67370,,2019/12/25,420,,B0035228425,2019/11/30,0,,,0,,,,,,,,,,,,,,
148,201,2019/11/30,10801021529,103463,JAFA,,1,1,PC,,DZ7,,,,ｶｺﾞﾋﾟﾝB,,P2166-67370,,2019/12/26,1080,,B0035228426,2019/11/30,0,,,0,,,,,,,,,,,,,,
149,201,2019/11/30,10801021529,103463,JAFA,,1,1,PC,,DZ7,,,,ｶｺﾞﾋﾟﾝB,,P2166-67470,,2019/12/25,420,,B0035228541,2019/11/30,0,,,0,,,,,,,,,,,,,,
150,201,2019/11/30,10801021529,103463,JAFA,,1,1,PC,,DZ7,,,,ｶｺﾞﾋﾟﾝB,,P2166-67470,,2019/12/26,1080,,B0035228542,2019/11/30,0,,,0,,,,,,,,,,,,,,
151,201,2019/11/30,10801021529,103463,JAFA,,1,1,PC,,DZ7,,,,ｷｭｳｽｲﾍﾞﾝｶﾗｰ,,P2922-02C00,,2020/1/14,9280,,B0035229522,2019/11/30,0,,,0,,,,,,,,,,,,,,
152,201,2019/11/30,10801021529,103463,JAFA,,1,1,PC,,DZ7,,,,ﾎ-ｽｼﾞｮｲﾝﾄ,,P0242-67300,,2019/12/25,500,,B0035231647,2019/11/30,0,,,0,,,,,,,,,,,,,,
153,201,2019/11/30,10801021529,103463,JAFA,,1,1,PC,,DZ7,,,,ﾗｯﾁA,,P2131-93020,,2020/1/6,1200,,B0035231728,2019/11/30,0,,,0,,,,,,,,,,,,,,
154,201,2019/11/30,10801021529,103463,JAFA,,1,1,PC,,DZ7,,,,ﾗｯﾁA,,P2131-93020,,2020/1/7,1800,,B0035231729,2019/11/30,0,,,0,,,,,,,,,,,,,,
155,201,2019/11/30,10801021529,103463,JAFA,,1,1,PC,,DZ7,,,,ﾘｰﾄﾞｾﾝｶﾊﾞｰ,,P0545-83900,,2019/12/25,600,,B0035232431,2019/11/30,0,,,0,,,,,,,,,,,,,,
156,201,2019/11/30,10801021529,103463,JAFA,,1,1,PC,,DZ7,,,,ｶｺﾞﾊﾝｶﾞ,,P0166-93130,,2020/1/6,300,,C0035212316,2019/11/30,0,,,0,,,,,,,,,,,,,,
157,201,2019/11/30,10801021529,103463,JAFA,,1,1,PC,,DZ7,,,,ｶｺﾞﾊﾝｶﾞ,,P0166-93130,,2020/1/8,400,,C0035212317,2019/11/30,0,,,0,,,,,,,,,,,,,,
158,201,2019/11/30,10801021529,103463,JAFA,,1,1,PC,,DZ7,,,,ｶｺﾞﾊﾝｶﾞ,,P0166-93130,,2020/1/9,300,,C0035212318,2019/11/30,0,,,0,,,,,,,,,,,,,,
159,201,2019/11/30,10801021529,103463,JAFA,,1,1,PC,,DZ7,,,,ﾎｰｽﾊﾝｶﾞ,,P0170-96500,,2020/1/9,500,,C0035212658,2019/11/30,0,,,0,,,,,,,,,,,,,,
160,201,2019/11/30,10801021529,103463,JAFA,,1,1,PC,,DZ7,,,,ﾌﾀﾁｮｳﾊﾞﾝ(L),,P0192-63040,,2020/1/6,3200,,C0035214380,2019/11/30,0,,,0,,,,,,,,,,,,,,
161,201,2019/11/30,10801021529,103463,JAFA,,1,1,PC,,DZ7,,,,ﾌﾀﾁｮｳﾊﾞﾝ(L),,P0192-63040,,2020/1/7,3400,,C0035214381,2019/11/30,0,,,0,,,,,,,,,,,,,,
162,201,2019/11/30,10801021529,103463,JAFA,,1,1,PC,,DZ7,,,,ﾌﾀﾁｮｳﾊﾞﾝ(L),,P0192-63040,,2020/1/8,3000,,C0035214382,2019/11/30,0,,,0,,,,,,,,,,,,,,
163,201,2019/11/30,10801021529,103463,JAFA,,1,1,PC,,DZ7,,,,ﾌﾀﾁｮｳﾊﾞﾝ(L),,P0192-63040,,2020/1/9,3400,,C0035214383,2019/11/30,0,,,0,,,,,,,,,,,,,,
164,201,2019/11/30,10801021529,103463,JAFA,,1,1,PC,,DZ7,,,,ﾌﾀﾁｮｳﾊﾞﾝ(L),,P0192-63040,,2020/1/10,3400,,C0035214384,2019/11/30,0,,,0,,,,,,,,,,,,,,
165,201,2019/11/30,10801021529,103463,JAFA,,1,1,PC,,DZ7,,,,ﾌﾀﾁｮｳﾊﾞﾝ(R),,P0192-63050,,2020/1/6,3000,,C0035214620,2019/11/30,0,,,0,,,,,,,,,,,,,,
166,201,2019/11/30,10801021529,103463,JAFA,,1,1,PC,,DZ7,,,,ﾌﾀﾁｮｳﾊﾞﾝ(R),,P0192-63050,,2020/1/7,3400,,C0035214621,2019/11/30,0,,,0,,,,,,,,,,,,,,
167,201,2019/11/30,10801021529,103463,JAFA,,1,1,PC,,DZ7,,,,ﾌﾀﾁｮｳﾊﾞﾝ(R),,P0192-63050,,2020/1/8,3200,,C0035214622,2019/11/30,0,,,0,,,,,,,,,,,,,,
168,201,2019/11/30,10801021529,103463,JAFA,,1,1,PC,,DZ7,,,,ﾌﾀﾁｮｳﾊﾞﾝ(R),,P0192-63050,,2020/1/9,3400,,C0035214623,2019/11/30,0,,,0,,,,,,,,,,,,,,
169,201,2019/11/30,10801021529,103463,JAFA,,1,1,PC,,DZ7,,,,ﾌﾀﾁｮｳﾊﾞﾝ(R),,P0192-63050,,2020/1/10,3200,,C0035214624,2019/11/30,0,,,0,,,,,,,,,,,,,,
170,201,2019/11/30,10801021529,103463,JAFA,,1,1,PC,,DZ7,,,,ﾎﾞﾃﾞｨﾎｷｮｳU,,P001V-06G00,,2020/1/6,100,,C0035215092,2019/11/30,0,,,0,,,,,,,,,,,,,,
171,201,2019/11/30,10801021529,103463,JAFA,,1,1,PC,,DZ7,,,,ﾎﾞﾃﾞｨﾎｷｮｳU,,P001V-06G00,,2020/1/8,200,,C0035215093,2019/11/30,0,,,0,,,,,,,,,,,,,,
172,201,2019/11/30,10801021529,103463,JAFA,,1,1,PC,,DZ7,,,,ﾎﾞﾃﾞｨﾎｷｮｳU,,P001V-06G00,,2020/1/10,100,,C0035215094,2019/11/30,0,,,0,,,,,,,,,,,,,,
173,201,2019/11/30,10801021529,103463,JAFA,,1,1,PC,,DZ7,,,,ｶｺﾞBU,,P021A-13R00,,2020/1/8,52,,C0035215123,2019/11/30,0,,,0,,,,,,,,,,,,,,
174,201,2019/11/30,10801021529,103463,JAFA,,1,1,PC,,DZ7,,,,ｶｺﾞBU,,P021A-13R00,,2020/1/9,52,,C0035215124,2019/11/30,0,,,0,,,,,,,,,,,,,,
175,201,2019/11/30,10801021529,103463,JAFA,,1,1,PC,,DZ7,,,,ｾﾝｻﾞｲｲﾚU,,P021B-02E10,,2020/1/10,52,,C0035215132,2019/11/30,0,,,0,,,,,,,,,,,,,,
176,201,2019/11/30,10801021529,103463,JAFA,,1,1,PC,,DZ7,,,,ｾﾝｻﾞｲｲﾚU,,P021B-02E20,,2020/1/6,520,,C0035215265,2019/11/30,0,,,0,,,,,,,,,,,,,,
177,201,2019/11/30,10801021529,103463,JAFA,,1,1,PC,,DZ7,,,,ｾﾝｻﾞｲｲﾚU,,P021B-02E20,,2020/1/7,832,,C0035215266,2019/11/30,0,,,0,,,,,,,,,,,,,,
178,201,2019/11/30,10801021529,103463,JAFA,,1,1,PC,,DZ7,,,,ｾﾝｻﾞｲｲﾚU,,P021B-02E20,,2020/1/8,624,,C0035215267,2019/11/30,0,,,0,,,,,,,,,,,,,,
179,201,2019/11/30,10801021529,103463,JAFA,,1,1,PC,,DZ7,,,,ｾﾝｻﾞｲｲﾚU,,P021B-02E20,,2020/1/9,572,,C0035215268,2019/11/30,0,,,0,,,,,,,,,,,,,,
180,201,2019/11/30,10801021529,103463,JAFA,,1,1,PC,,DZ7,,,,ｾﾝｻﾞｲｲﾚU,,P021B-02E20,,2020/1/10,780,,C0035215269,2019/11/30,0,,,0,,,,,,,,,,,,,,
181,201,2019/11/30,10801021529,103463,JAFA,,1,1,PC,,DZ7,,,,ﾌｨﾙﾀAU,,P002X-05Z20,,2020/1/6,1620,,C0035215728,2019/11/30,0,,,0,,,,,,,,,,,,,,
182,201,2019/11/30,10801021529,103463,JAFA,,1,1,PC,,DZ7,,,,ﾌｨﾙﾀAU,,P002X-05Z20,,2020/1/7,1620,,C0035215729,2019/11/30,0,,,0,,,,,,,,,,,,,,
183,201,2019/11/30,10801021529,103463,JAFA,,1,1,PC,,DZ7,,,,ﾌｨﾙﾀAU,,P002X-05Z20,,2020/1/8,1620,,C0035215730,2019/11/30,0,,,0,,,,,,,,,,,,,,
184,201,2019/11/30,10801021529,103463,JAFA,,1,1,PC,,DZ7,,,,ﾌｨﾙﾀAU,,P002X-05Z20,,2020/1/9,1620,,C0035215731,2019/11/30,0,,,0,,,,,,,,,,,,,,
185,201,2019/11/30,10801021529,103463,JAFA,,1,1,PC,,DZ7,,,,ﾌｨﾙﾀAU,,P002X-05Z20,,2020/1/10,1620,,C0035215732,2019/11/30,0,,,0,,,,,,,,,,,,,,
186,201,2019/11/30,10801021529,103463,JAFA,,1,1,PC,,DZ7,,,,ﾌｨﾙﾀAU,,P002X-93030,,2020/1/7,100,,C0035215929,2019/11/30,0,,,0,,,,,,,,,,,,,,
187,201,2019/11/30,10801021529,103463,JAFA,,1,1,PC,,DZ7,,,,ﾌｨﾙﾀAU,,P002X-93030,,2020/1/9,100,,C0035215930,2019/11/30,0,,,0,,,,,,,,,,,,,,
188,201,2019/11/30,10801021529,103463,JAFA,,1,1,PC,,DZ7,,,,ﾀﾝｸｳｹｽﾃｰAU(L),,P011A-13R00,,2020/1/9,224,,C0035216102,2019/11/30,0,,,0,,,,,,,,,,,,,,
189,201,2019/11/30,10801021529,103463,JAFA,,1,1,PC,,DZ7,,,,ﾀﾝｸｳｹｽﾃｰAU(R),,P011A-13S00,,2020/1/9,24,,C0035216112,2019/11/30,0,,,0,,,,,,,,,,,,,,
190,201,2019/11/30,10801021529,103463,JAFA,,1,1,PC,,DZ7,,,,ﾀﾝｸｳｹｽﾃｰAU(R),,P011A-13S00,,2020/1/10,42,,C0035216113,2019/11/30,0,,,0,,,,,,,,,,,,,,
191,201,2019/11/30,10801021529,103463,JAFA,,1,1,PC,,DZ7,,,,ﾀﾝｸｳｹｽﾃｰB(R),,P1127-93100,,2020/1/6,1200,,C0035217146,2019/11/30,0,,,0,,,,,,,,,,,,,,
192,201,2019/11/30,10801021529,103463,JAFA,,1,1,PC,,DZ7,,,,ﾀﾝｸｳｹｽﾃｰB(R),,P1127-93100,,2020/1/7,2100,,C0035217147,2019/11/30,0,,,0,,,,,,,,,,,,,,
193,201,2019/11/30,10801021529,103463,JAFA,,1,1,PC,,DZ7,,,,ﾀﾝｸｳｹｽﾃｰB(R),,P1127-93100,,2020/1/8,1500,,C0035217148,2019/11/30,0,,,0,,,,,,,,,,,,,,
194,201,2019/11/30,10801021529,103463,JAFA,,1,1,PC,,DZ7,,,,ﾀﾝｸｳｹｽﾃｰB(R),,P1127-93100,,2020/1/9,1500,,C0035217149,2019/11/30,0,,,0,,,,,,,,,,,,,,
195,201,2019/11/30,10801021529,103463,JAFA,,1,1,PC,,DZ7,,,,ﾀﾝｸｳｹｽﾃｰB(R),,P1127-93100,,2020/1/10,1800,,C0035217150,2019/11/30,0,,,0,,,,,,,,,,,,,,
196,201,2019/11/30,10801021529,103463,JAFA,,1,1,PC,,DZ7,,,,ｺﾓﾉｲﾚ,,P1189-22050,,2020/1/7,69,,C0035217353,2019/11/30,0,,,0,,,,,,,,,,,,,,
197,201,2019/11/30,10801021529,103463,JAFA,,1,1,PC,,DZ7,,,,ｺﾓﾉｲﾚ,,P1189-22050,,2020/1/10,69,,C0035217354,2019/11/30,0,,,0,,,,,,,,,,,,,,
198,201,2019/11/30,10801021529,103463,JAFA,,1,1,PC,,DZ7,,,,ｶｺﾞﾊﾝｶﾞ,,P0166-93020,,2020/1/6,800,,C0035217391,2019/11/30,0,,,0,,,,,,,,,,,,,,
199,201,2019/11/30,10801021529,103463,JAFA,,1,1,PC,,DZ7,,,,ｶｺﾞﾊﾝｶﾞ,,P0166-93020,,2020/1/7,800,,C0035217392,2019/11/30,0,,,0,,,,,,,,,,,,,,
200,201,2019/11/30,10801021529,103463,JAFA,,1,1,PC,,DZ7,,,,ｶｺﾞﾊﾝｶﾞ,,P0166-93020,,2020/1/8,800,,C0035217393,2019/11/30,0,,,0,,,,,,,,,,,,,,
201,201,2019/11/30,10801021529,103463,JAFA,,1,1,PC,,DZ7,,,,ｶｺﾞﾊﾝｶﾞ,,P0166-93020,,2020/1/9,700,,C0035217394,2019/11/30,0,,,0,,,,,,,,,,,,,,
202,201,2019/11/30,10801021529,103463,JAFA,,1,1,PC,,DZ7,,,,ｶｺﾞﾊﾝｶﾞ,,P0166-93020,,2020/1/10,800,,C0035217395,2019/11/30,0,,,0,,,,,,,,,,,,,,
203,201,2019/11/30,10801021529,103463,JAFA,,1,1,PC,,DZ7,,,,ﾗｯﾁﾄﾘﾂｹｲﾀ,,P2133-93020,,2020/1/6,1600,,C0035217549,2019/11/30,0,,,0,,,,,,,,,,,,,,
204,201,2019/11/30,10801021529,103463,JAFA,,1,1,PC,,DZ7,,,,ﾗｯﾁﾄﾘﾂｹｲﾀ,,P2133-93020,,2020/1/7,2000,,C0035217550,2019/11/30,0,,,0,,,,,,,,,,,,,,
205,201,2019/11/30,10801021529,103463,JAFA,,1,1,PC,,DZ7,,,,ﾗｯﾁﾄﾘﾂｹｲﾀ,,P2133-93020,,2020/1/8,1600,,C0035217551,2019/11/30,0,,,0,,,,,,,,,,,,,,
206,201,2019/11/30,10801021529,103463,JAFA,,1,1,PC,,DZ7,,,,ﾗｯﾁﾄﾘﾂｹｲﾀ,,P2133-93020,,2020/1/9,1600,,C0035217552,2019/11/30,0,,,0,,,,,,,,,,,,,,
207,201,2019/11/30,10801021529,103463,JAFA,,1,1,PC,,DZ7,,,,ﾗｯﾁﾄﾘﾂｹｲﾀ,,P2133-93020,,2020/1/10,1600,,C0035217553,2019/11/30,0,,,0,,,,,,,,,,,,,,
208,201,2019/11/30,10801021529,103463,JAFA,,1,1,PC,,DZ7,,,,ｾﾝｻﾞｲｲﾚﾌﾀｶﾝU,,P219A-47400,,2020/1/10,210,,C0035218102,2019/11/30,0,,,0,,,,,,,,,,,,,,
209,201,2019/11/30,10801021529,103463,JAFA,,1,1,PC,,DZ7,,,,ｽﾗｲﾀﾞU,,P006T-02E20,,2020/1/6,360,,C0035220969,2019/11/30,0,,,0,,,,,,,,,,,,,,
210,201,2019/11/30,10801021529,103463,JAFA,,1,1,PC,,DZ7,,,,ｽﾗｲﾀﾞU,,P006T-02E20,,2020/1/7,330,,C0035220970,2019/11/30,0,,,0,,,,,,,,,,,,,,
211,201,2019/11/30,10801021529,103463,JAFA,,1,1,PC,,DZ7,,,,ｽﾗｲﾀﾞU,,P006T-02E20,,2020/1/8,60,,C0035220971,2019/11/30,0,,,0,,,,,,,,,,,,,,
212,201,2019/11/30,10801021529,103463,JAFA,,1,1,PC,,DZ7,,,,ｽﾗｲﾀﾞU,,P006T-02E20,,2020/1/9,360,,C0035220972,2019/11/30,0,,,0,,,,,,,,,,,,,,
213,201,2019/11/30,10801021529,103463,JAFA,,1,1,PC,,DZ7,,,,ｽﾗｲﾀﾞU,,P006T-02E20,,2020/1/10,330,,C0035220973,2019/11/30,0,,,0,,,,,,,,,,,,,,
214,201,2019/11/30,10801021529,103463,JAFA,,1,1,PC,,DZ7,,,,ﾛ-ﾗ-B ｶﾝｾｲ U,,P007B-12420,,2020/1/10,100,,C0035221056,2019/11/30,0,,,0,,,,,,,,,,,,,,
215,201,2019/11/30,10801021529,103463,JAFA,,1,1,PC,,DZ7,,,,ﾀﾝｸｳｹｽﾃｰB(L),,P1127-93000,,2020/1/8,1600,,C0035221266,2019/11/30,0,,,0,,,,,,,,,,,,,,
216,201,2019/11/30,10801021529,103463,JAFA,,1,1,PC,,DZ7,,,,ﾀﾝｸｳｹｽﾃｰB(L),,P1127-93000,,2020/1/10,3200,,C0035221267,2019/11/30,0,,,0,,,,,,,,,,,,,,
217,201,2019/11/30,10801021529,103463,JAFA,,1,1,PC,,DZ7,,,,ﾀﾝｸｳｹｽﾃｰB(L),,P1127-93000,,2020/1/15,3200,,C0035221268,2019/11/30,0,,,0,,,,,,,,,,,,,,
218,201,2019/11/30,10801021529,103463,JAFA,,1,1,PC,,DZ7,,,,ﾀﾝｸｳｹｽﾃｰB(L),,P1127-93000,,2020/1/17,4400,,C0035221269,2019/11/30,0,,,0,,,,,,,,,,,,,,
219,201,2019/11/30,10801021529,103463,JAFA,,1,1,PC,,DZ7,,,,ｶｺﾞB,,P2125-10M00,,2020/1/8,600,,C0035222217,2019/11/30,0,,,0,,,,,,,,,,,,,,
220,201,2019/11/30,10801021529,103463,JAFA,,1,1,PC,,DZ7,,,,ｶｺﾞB,,P2125-10M00,,2020/1/9,120,,C0035222218,2019/11/30,0,,,0,,,,,,,,,,,,,,
221,201,2019/11/30,10801021529,103463,JAFA,,1,1,PC,,DZ7,,,,ｶｺﾞB,,P2125-10M00,,2020/1/10,480,,C0035222219,2019/11/30,0,,,0,,,,,,,,,,,,,,
222,201,2019/11/30,10801021529,103463,JAFA,,1,1,PC,,DZ7,,,,ｶｺﾞB,,P2125-10M00,,2020/1/14,480,,C0035222220,2019/11/30,0,,,0,,,,,,,,,,,,,,
223,201,2019/11/30,10801021529,103463,JAFA,,1,1,PC,,DZ7,,,,ｶｺﾞB,,P2125-10M00,,2020/1/15,240,,C0035222221,2019/11/30,0,,,0,,,,,,,,,,,,,,
224,201,2019/11/30,10801021529,103463,JAFA,,1,1,PC,,DZ7,,,,ｶｺﾞB,,P2125-10M00,,2020/1/16,600,,C0035222222,2019/11/30,0,,,0,,,,,,,,,,,,,,
225,201,2019/11/30,10801021529,103463,JAFA,,1,1,PC,,DZ7,,,,ｶｺﾞB,,P2125-10M00,,2020/1/17,360,,C0035222223,2019/11/30,0,,,0,,,,,,,,,,,,,,
226,201,2019/11/30,10801021529,103463,JAFA,,1,1,PC,,DZ7,,,,ﾎ-ｽﾊﾝｶﾞ-,,P0170-67300,,2020/1/6,2000,,C0035222690,2019/11/30,0,,,0,,,,,,,,,,,,,,
227,201,2019/11/30,10801021529,103463,JAFA,,1,1,PC,,DZ7,,,,ﾎ-ｽﾊﾝｶﾞ-,,P0170-67300,,2020/1/7,2000,,C0035222691,2019/11/30,0,,,0,,,,,,,,,,,,,,
228,201,2019/11/30,10801021529,103463,JAFA,,1,1,PC,,DZ7,,,,ﾎ-ｽﾊﾝｶﾞ-,,P0170-67300,,2020/1/8,3000,,C0035222692,2019/11/30,0,,,0,,,,,,,,,,,,,,
229,201,2019/11/30,10801021529,103463,JAFA,,1,1,PC,,DZ7,,,,ﾎ-ｽﾊﾝｶﾞ-,,P0170-67300,,2020/1/10,2000,,C0035222693,2019/11/30,0,,,0,,,,,,,,,,,,,,
230,201,2019/11/30,10801021529,103463,JAFA,,1,1,PC,,DZ7,,,,ｺﾓﾉｲﾚ,,P1189-31350,,2020/1/6,1100,,C0035222760,2019/11/30,0,,,0,,,,,,,,,,,,,,
231,201,2019/11/30,10801021529,103463,JAFA,,1,1,PC,,DZ7,,,,ｺﾓﾉｲﾚ,,P1189-31350,,2020/1/7,900,,C0035222761,2019/11/30,0,,,0,,,,,,,,,,,,,,
232,201,2019/11/30,10801021529,103463,JAFA,,1,1,PC,,DZ7,,,,ｺﾓﾉｲﾚ,,P1189-31350,,2020/1/8,900,,C0035222762,2019/11/30,0,,,0,,,,,,,,,,,,,,
