product_id,irisu,id_box,,
FJBHC00X1X,1000,8,0,f606ea4c-3274-4db6-9c95-52304761b41d,
FJBHC00X5X,1000,8,0,f606ea4c-3274-4db6-9c95-52304761b41d,
FJBHC00X6X,1000,8,0,f606ea4c-3274-4db6-9c95-52304761b41d,
FJBHC00XGX,1000,8,0,f606ea4c-3274-4db6-9c95-52304761b41d,
FJBHC00XSX,1000,8,0,f606ea4c-3274-4db6-9c95-52304761b41d,
FJBHK00X1X,250,2,0,f606ea4c-3274-4db6-9c95-52304761b41d,
FJBHK00X5X,250,2,0,f606ea4c-3274-4db6-9c95-52304761b41d,
FJBHK00X6X,250,2,0,f606ea4c-3274-4db6-9c95-52304761b41d,
FJBHK00XGX,250,2,0,f606ea4c-3274-4db6-9c95-52304761b41d,
FJBHK00XSX,250,2,0,f606ea4c-3274-4db6-9c95-52304761b41d,
G-NDIA-04A,3000,2,0,f606ea4c-3274-4db6-9c95-52304761b41d,
G-RGIA-04,2000,2,0,f606ea4c-3274-4db6-9c95-52304761b41d,
H0193-44200,500,8,0,f606ea4c-3274-4db6-9c95-52304761b41d,
H0509-34430,100,2,0,f606ea4c-3274-4db6-9c95-52304761b41d,
H0514-37700X,500,8,0,f606ea4c-3274-4db6-9c95-52304761b41d,
H1193-34400D,500,8,0,f606ea4c-3274-4db6-9c95-52304761b41d,
H1193-34400Z,4,8,0,f606ea4c-3274-4db6-9c95-52304761b41d,
H1193-34410D,500,8,0,f606ea4c-3274-4db6-9c95-52304761b41d,
H1193-34420D,500,8,0,f606ea4c-3274-4db6-9c95-52304761b41d,
H1193-37810X,500,8,0,f606ea4c-3274-4db6-9c95-52304761b41d,
H1307-34420,500,8,0,f606ea4c-3274-4db6-9c95-52304761b41d,
H1307-40310,500,0,0,f606ea4c-3274-4db6-9c95-52304761b41d,
H1308-38740,400,0,0,f606ea4c-3274-4db6-9c95-52304761b41d,
H1308-40310,500,0,0,f606ea4c-3274-4db6-9c95-52304761b41d,
H1316-40300,132,0,0,f606ea4c-3274-4db6-9c95-52304761b41d,
H2131-36600D,5000,8,0,f606ea4c-3274-4db6-9c95-52304761b41d,
H2131-36600X,5000,8,0,f606ea4c-3274-4db6-9c95-52304761b41d,
H2131-36600Z,500,8,0,f606ea4c-3274-4db6-9c95-52304761b41d,
H2364-41200,250,8,0,f606ea4c-3274-4db6-9c95-52304761b41d,
H85064,500,8,0,f606ea4c-3274-4db6-9c95-52304761b41d,
H85064-0,500,2,0,f606ea4c-3274-4db6-9c95-52304761b41d,
H85187,9999,0,0,f606ea4c-3274-4db6-9c95-52304761b41d,
HC-003131,90,1,0,f606ea4c-3274-4db6-9c95-52304761b41d,
J199,2000,0,0,f606ea4c-3274-4db6-9c95-52304761b41d,
MLD-CO-20009,600,8,0,f606ea4c-3274-4db6-9c95-52304761b41d,
MLD-CO-20010,600,8,0,f606ea4c-3274-4db6-9c95-52304761b41d,
MLD-CO-20011,600,8,0,f606ea4c-3274-4db6-9c95-52304761b41d,
MLD-CO-20012,1200,8,0,f606ea4c-3274-4db6-9c95-52304761b41d,
MLD-CO-20013,600,8,0,f606ea4c-3274-4db6-9c95-52304761b41d,
MLD-CO-20014,600,8,0,f606ea4c-3274-4db6-9c95-52304761b41d,
MLD-CO-20021,600,8,0,f606ea4c-3274-4db6-9c95-52304761b41d,
MLD-CO-20022,600,8,0,f606ea4c-3274-4db6-9c95-52304761b41d,
MLD-EX-20001,304,1,0,f606ea4c-3274-4db6-9c95-52304761b41d,
MLD-EX-20002,720,1,0,f606ea4c-3274-4db6-9c95-52304761b41d,
MLD-EX-20006,840,1,0,f606ea4c-3274-4db6-9c95-52304761b41d,
MLD-MD-11111,800,2,0,f606ea4c-3274-4db6-9c95-52304761b41d,
MLD-MD-20020,1200,8,0,f606ea4c-3274-4db6-9c95-52304761b41d,
MLD-MD-20020A,1200,8,0,f606ea4c-3274-4db6-9c95-52304761b41d,
MLD-MD-20021,4000,8,0,f606ea4c-3274-4db6-9c95-52304761b41d,
MLD-MD-20022,800,8,0,f606ea4c-3274-4db6-9c95-52304761b41d,
MLD-MD-20023,2000,8,0,f606ea4c-3274-4db6-9c95-52304761b41d,
MLD-MD-20023A,2000,8,0,f606ea4c-3274-4db6-9c95-52304761b41d,
MLD-MD-20031,4000,8,0,f606ea4c-3274-4db6-9c95-52304761b41d,
MLD-MD-20032,800,8,0,f606ea4c-3274-4db6-9c95-52304761b41d,
MLD-MD-20034,2000,8,0,f606ea4c-3274-4db6-9c95-52304761b41d,
MLD-MD-20035,1200,8,0,f606ea4c-3274-4db6-9c95-52304761b41d,
MLD-MD-20036,2000,8,0,f606ea4c-3274-4db6-9c95-52304761b41d,
MLD-MD-20037,4000,8,0,f606ea4c-3274-4db6-9c95-52304761b41d,
MLD-MD-20038,800,8,0,f606ea4c-3274-4db6-9c95-52304761b41d,
MLD-MD-20041,4000,8,0,f606ea4c-3274-4db6-9c95-52304761b41d,
MLD-MD-20042,800,8,0,f606ea4c-3274-4db6-9c95-52304761b41d,
MLD-MD-20043,800,8,0,f606ea4c-3274-4db6-9c95-52304761b41d,
MLD-MD-20045,1200,8,0,f606ea4c-3274-4db6-9c95-52304761b41d,
MLD-MD-20046,800,8,0,f606ea4c-3274-4db6-9c95-52304761b41d,
