id,datetime_hakkou,product_id,lot_num,amount,flag_used,date_deliver,place_deliver_id,cs_name,operator_deliver,flag_deliver,delete_flg,updated_at
899188,2019/11/13 04:09:00,BON-MD-20023,IN.191113-167,360,0,,,,,,,
899189,2019/11/13 04:09:00,BON-MD-20023,IN.191113-168,360,0,,,,,,,
899190,2019/11/13 04:09:00,BON-MD-20023,IN.191113-169,360,0,,,,,,,
899191,2019/11/13 04:09:00,BON-MD-20023,IN.191113-170,360,0,,,,,,,
899192,2019/11/13 04:09:00,BON-MD-20023,IN.191113-171,360,0,,,,,,,
899193,2019/11/13 04:09:00,BON-MD-20023,IN.191113-172,360,0,,,,,,,
899194,2019/11/13 04:09:00,BON-MD-20023,IN.191113-173,360,0,,,,,,,
899195,2019/11/13 04:09:00,BON-MD-20023,IN.191113-174,360,0,,,,,,,
899196,2019/11/13 04:09:00,BON-MD-20023,IN.191113-175,360,0,,,,,,,
899197,2019/11/13 04:09:00,BON-MD-20023,IN.191113-176,360,0,,,,,,,
899198,2019/11/13 04:09:00,BON-MD-20023,IN.191113-177,360,0,,,,,,,
899199,2019/11/13 04:09:00,BON-MD-20023,IN.191113-178,360,0,,,,,,,
899200,2019/11/13 04:09:00,BON-MD-20023,IN.191113-179,360,0,,,,,,,
899201,2019/11/13 04:09:00,BON-MD-20023,IN.191113-180,360,0,,,,,,,
899202,2019/11/13 04:09:00,BON-MD-20023,IN.191113-181,360,0,,,,,,,
899203,2019/11/13 04:09:00,BON-MD-20023,IN.191113-182,360,0,,,,,,,
899204,2019/11/13 04:09:00,BON-MD-20023,IN.191113-183,360,0,,,,,,,
899205,2019/11/13 04:09:00,BON-MD-20023,IN.191113-184,360,0,,,,,,,
899206,2019/11/13 04:09:00,BON-MD-20023,IN.191113-185,360,0,,,,,,,
899207,2019/11/13 04:09:00,BON-MD-20023,IN.191113-186,360,0,,,,,,,
899208,2019/11/13 04:09:00,BON-MD-20023,IN.191113-187,360,0,,,,,,,
899209,2019/11/13 04:09:00,BON-MD-20023,IN.191113-188,360,0,,,,,,,
899210,2019/11/13 04:09:00,BON-MD-20023,IN.191113-189,360,0,,,,,,,
899211,2019/11/13 04:09:00,BON-MD-20023,IN.191113-190,360,0,,,,,,,
899212,2019/11/13 04:09:00,BON-MD-20023,IN.191113-191,360,0,,,,,,,
899213,2019/11/13 04:09:00,BON-MD-20023,IN.191113-192,360,0,,,,,,,
899214,2019/11/13 04:09:00,BON-MD-20023,IN.191113-193,360,0,,,,,,,
899215,2019/11/13 04:09:00,BON-MD-20023,IN.191113-194,360,0,,,,,,,
899216,2019/11/13 04:09:00,BON-MD-20023,IN.191113-195,360,0,,,,,,,
899217,2019/11/13 04:09:00,BON-MD-20023,IN.191113-196,360,0,,,,,,,
899218,2019/11/13 04:09:00,BON-MD-20023,IN.191113-197,360,0,,,,,,,
899219,2019/11/13 04:09:00,BON-MD-20023,IN.191113-198,360,0,,,,,,,
899220,2019/11/13 04:09:00,BON-MD-20023,IN.191113-199,360,0,,,,,,,
899221,2019/11/13 04:09:00,BON-MD-20023,IN.191113-200,360,0,,,,,,,
899222,2019/11/13 04:09:00,BON-MD-20023,IN.191113-201,360,0,,,,,,,
899223,2019/11/13 04:09:00,BON-MD-20023,IN.191113-202,360,0,,,,,,,
899224,2019/11/13 04:10:00,P2166-67370,191113-171,30,9,,,,,,,
899225,2019/11/13 04:10:00,P2166-67470,191113-171,30,0,,,,,,,
899226,2019/11/13 04:10:00,P2166-67370,191113-172,30,9,,,,,,,
899227,2019/11/13 04:10:00,P2166-67470,191113-172,30,0,,,,,,,
899228,2019/11/13 04:10:00,P2166-67370,191113-173,30,9,,,,,,,
899229,2019/11/13 04:10:00,P2166-67470,191113-173,30,0,,,,,,,
899230,2019/11/13 04:10:00,P2166-67370,191113-174,30,9,,,,,,,
899231,2019/11/13 04:10:00,P2166-67470,191113-174,30,0,,,,,,,
899232,2019/11/13 04:10:00,P2166-67370,191113-175,30,9,,,,,,,
899233,2019/11/13 04:10:00,P2166-67470,191113-175,30,0,,,,,,,
899234,2019/11/13 04:10:00,P2166-67370,191113-176,30,9,,,,,,,
899235,2019/11/13 04:10:00,P2166-67470,191113-176,30,0,,,,,,,
899236,2019/11/13 04:10:00,P2166-67370,191113-177,30,9,,,,,,,
899237,2019/11/13 04:10:00,P2166-67470,191113-177,30,0,,,,,,,
899238,2019/11/13 04:10:00,P2166-67370,191113-178,30,9,,,,,,,
899239,2019/11/13 04:10:00,P2166-67470,191113-178,30,0,,,,,,,
899240,2019/11/13 04:10:00,P2166-02F10,191113-001,60,9,,,,,,,
899241,2019/11/13 04:10:00,P2166-02F10,191113-002,60,9,,,,,,,
899242,2019/11/13 04:10:00,P2166-02F10,191113-003,60,9,,,,,,,
899243,2019/11/13 04:10:00,P2166-02F10,191113-004,60,9,,,,,,,
899244,2019/11/13 04:10:00,P2166-02F10,191113-005,60,9,,,,,,,
899245,2019/11/13 04:10:00,P2166-02F10,191113-006,60,9,,,,,,,
899246,2019/11/13 04:10:00,P2166-02F10,191113-007,60,9,,,,,,,
899247,2019/11/13 04:10:00,P2166-02F10,191113-008,60,9,,,,,,,
899248,2019/11/13 04:10:00,P2166-02F10,191113-009,60,9,,,,,,,
899249,2019/11/13 04:10:00,P2166-02F10,191113-010,60,9,,,,,,,
899250,2019/11/13 04:10:00,P2166-02F10,191113-011,60,9,,,,,,,
899251,2019/11/13 04:10:00,P2166-02F10,191113-012,60,9,,,,,,,
899252,2019/11/13 04:10:00,P2166-02F10,191113-013,60,9,,,,,,,
899253,2019/11/13 04:10:00,P2166-02F10,191113-014,60,9,,,,,,,
